IDentification Name,USAF,NCDC,Date,HrMn,I,Type,QCP,Wind Dir,Wind Dir Q,Wind Dir I,Wind Spd,Wind Spd Q,Temp,Temp Q,Dewpt,Dewpt Q,Slp,Slp Q,RHx
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,53,7,FM-15,    ,120,5,N,3.1,5,-1.7,5,-3.3,5,1008.3,5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,153,7,FM-15,    ,130,5,N,4.1,5,-1.7,5,-3.3,5,1007.7,5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,253,7,FM-15,    ,130,5,N,4.1,5,-1.1,5,-2.8,5,1007.3,5,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,353,7,FM-15,    ,120,5,N,2.1,5,-1.1,5,-2.8,5,1007.7,5,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,453,7,FM-15,    ,100,5,N,2.1,5,-1.1,5,-2.8,5,1007.7,5,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,553,7,FM-15,    ,100,5,N,2.1,5,-1.7,5,-3.3,5,1007.5,5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,653,7,FM-15,    ,100,5,N,2.6,5,-2.2,5,-3.3,5,1006.5,5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,753,7,FM-15,    ,100,5,N,2.6,5,-2.2,5,-3.3,5,1005.9,5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,853,7,FM-15,    ,110,5,N,2.1,5,-2.2,5,-3.9,5,1005.7,5,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,953,7,FM-15,    ,120,5,N,2.1,5,-2.2,5,-3.9,5,1005.1,5,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1053,7,FM-15,    ,130,5,N,1.5,5,-1.7,5,-2.8,5,1004.7,5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1153,7,FM-15,    ,120,5,N,2.6,5,-0.6,5,-2.8,5,1004.4,5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1253,7,FM-15,    ,80,5,N,1.5,5,-0.6,5,-2.2,5,1004.2,5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1353,7,FM-15,    ,60,5,N,2.1,5,-0.6,5,-2.2,5,1004.3,5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1453,7,FM-15,    ,80,5,N,3.6,5,0,5,-2.2,5,1004.3,5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1553,7,FM-15,    ,90,5,N,3.6,5,0.6,5,-1.7,5,1004.5,5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1653,7,FM-15,    ,90,5,N,2.6,5,1.7,5,-0.6,5,1003.8,5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1753,7,FM-15,    ,70,5,N,4.6,5,1.7,5,-0.6,5,1002.4,5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1853,7,FM-15,    ,90,5,N,4.6,5,2.2,5,0,5,1001.5,5,85
